word_id,words,definitions
53,ACABAR,"v.t. Xu’ul, ts’o’ok, náak. báabaaláaj."
54,ABUNDANCIA DE FRUTA EN EL ÁRBOL,adj.Chin
55,ACABARSE,v.i. Xu’upul.
56,ACABARSE DEL TODO,v.i. Nak’al.
57,ACABARSE EL AIRE,v.i. Ku’upul u wiik’.
58,A CADA MOMENTO,adv. de t. Junak
59,A CADA RATO,adv. de t. Chich muuk’
60,ACAECER,v.i. Úuchul
61,ACAECER DE REPENTE,v.i. Wasut jal
62,ACALORARSE,v.i. Kal k’iin
63,ACALLAR,"v.i. Chiltaj, chilkunaj"
64,"ACARICIAR, ALISAR","v.t. Báay, baytaj."
65,"ACARREAR, TRANSPORTAR",v.t. Púut
66,"ACASO, QUIZÁS","adv de d. Binakí, balakix."
67,ACAUDALADO,adj. Ayik’al. Aj táak’in máak.
68,ACAUDILLAR,v.t. Méek’tantaj
69,ACCIDENTE,sus. Loob
70,ACCIÓN DE GRACIAS,sus. Ts’aa yaatsil.
71,ACECHAR,v.i. Ch’eeneb
72,ACEDO,adj. Paj
73,ACEITOSO O MANTECOSO,adj.Ch’ach’apki.
74,ACEPTAR UNA PROPOSICIÓN,v.t. Ket
75,ACEPTAR,v.i. Chíintaj.
76,ACEQUIA O CANAL,sus. Bebek
77,ACERCAR,v.i. Naats’
78,ACERCARSE,v.i. Naats’al
79,ACERCARSE REPETIDAMENTE,v.t. Naanaats’
80,ACERTAR,v.t. Utsál
81,ACERTAR EL TIRO,v.t. Toj k’ab.
82,"ACESIDO, DISNEA (RESPIRAR CON DIFICULTAD)",sus. Jéesbal se’en.
83,ACEZAR,v.i. Jéesbal
84,ACLARAR,"v.i. Sáastal, píik"
85,ACOBARDARSE O SER VENCIDO,adj. Kumtantaj
86,ACOMETER,"v.t. Kopulba, ts’am k’ab"
87,ACOMODAR,v.t. Tsool
88,ACOMPAÑAR,"v.t. Tabantaj, láak’intal, láak’intik."
89,ACONSEJAR,v.t. Tsool xikin
90,ACONTECER,v.t. Úuchchajal
91,ACORDADO,adj. Tumaja’an
92,ACORDEÓN,sus. Sats’alsats’.
93,ACORRALAR,"v.t. K’aal, k’aansaj"
94,ACOSTADO,adj. Chilikbal 
95,ACOSTAR,"v.i. Chital, chiltal."
96,ACOSTAR A ALGUIEN,v.t. Chilkuns.
97,ACOSTADO BOCA ARRIBA,adv. de m. Jawtal.
98,ACOSTADO BOCA ARRIBA,adv. de m. Jawakbal
99,ACOSTARSE BOCA ABAJO,"v.i. Nok, nokakbaj ,chelik"
100,ACOSTUMBRADO,adj. Suuk
101,ACOSTUMBRADO,adj. Suukbe’en
102,ACOSTUMBRAR,v.i. Na’antal
103,ACOSTUMBRARSE,v.i. Suuktal
104,ACRECENTADA,adj. Chaybesabal
105,ACRIBILLAR,v.t. Ts’ots’op loom
106,ACTIVIDAD,sus. Sa’ak óolal.
107,ACTIVO,adj. T’a’aj
108,ACTOR O COMEDIANTE,sus. Balts’am
109,ACTOS SEXUALES,"sus.Tal, ts’íis, top."
110,ACTUALMENTE,"adv de t. Bejela’e’,beje’ele’, bejla’e’, bejle’, bela’e’, bele’."
111,ACUÁTICO,adj. Ja’il
112,ACUCHILLAR,v.t. Loom
113,ACUERDO,sus. Éejenil.
114,ACUERDO O RESOLUCIÓN TOMADA,"sus. Xot óol, multumut, k’aax t’aan."
115,ACUÑAR,v.t. Cheej.
116,ACURRUCARSE,"v.i. Mochtal, kop, moch"
117,ACUSAR,v.t. Takpool
118,ACUSACIÓN,sus. Takpoolil
119,ACHIOTE,"sus. Kiwi’, k’uxub"
120,ADEMÁN,"sus. Béech’ k’ab, t’aan k’ab"
121,ADEMÁS,adv. de c. Bey xan
122,ADENTRO,"adv. de l. Ich, ichil"
123,ADEUDAR,v.t. P’aax
124,"ADHERIR, PEGAR",v.t. Tak’
125,ADICIONAR,"v.t. Ts’a yóok’ol, ya’abkuns."
126,ADINERADO,"adj. Ayik’al, táak’iin máak."
127,ADIVINANZAS,sus. Na’ato’ob
128,"ADIVINAR, ENTENDER",v.t. Na’at
129,"ADMINISTRAR, REGIR, GOBERNAR",v.t. Belankil.
130,"ADMITIR, CONCEDER",v.t. Oksaj t’aan
131,ADOLESCENCIA,sus. gen. m. Táankelemil; gen. f. x
132,ADORAR,v.t. K’ult
133,ADORATORIO,sus. Chan naajil k’ultaj
134,ADULADOR,adj. Aj bay pool
135,ADULAR,v.t. Baytaj
136,ADÚLTERO,sus. Aj kalpach
137,ADULTERIO DE MUJER,"sus. Kal paach, joy ts’om"
138,ADULTO,sus. Nojoch máak.
139,ADVERSIDAD,sus. Numya
140,A ESTA HORA,adv. de t. Ualkila’
141,A EMPELLONES,adv. de m. Ts’alk’abtantaj
142,AFECTO,sus. Ts’a óolal
143,"AFEITAR, TRASQUILAR","v.t. Ts’iik, jo’och."
144,AFEMINADO,"adj. Ch’úupil xiib, síis óol."
145,AFERRAR,"v.i. Ch’ik, maach."
146,AFIANZADO EN ALGO CON MUCHA FUERZA,adj. Xáaxaachki.
147,AFILAR,"v.t. Jáak, ja’i, jóojsaj yeej, juux."
148,"AFILAR, DESBASTAR, LIJAR, FROTAR",v.t. Ja’.
149,A FIN DE QUE,conj. fin. Utia’al
150,AFIRMACIÓN,sus. Jailkunaj t’aan
151,"AFIRMAR, ASEGURAR, ASENTAR CON FIRMEZA",v.i. Jeets’
152,AFLIGIDO,adj. Naak’al ti’
153,AFLOJAR LAS AMARRAS,"v.t. Sáal , waach’."
154,"AFLOJAR, DESATAR, SOLTAR",v.t. Cha’
155,AFLOJAR ALGO TENSO,v.t. Ch’uuk.
156,AFUERA,adv. de l. Táankab
157,AGACHADO,"adj. Mot’okbal, p’oka’an,"
158,AGACHARSE,"v.i. Mot’al, p’oktal, t’uchtal,"
159,AGARRAR,"v.t. Ch’a’an, maach, cháach, laap’, p’okokbal. mot’. ch’a’aj."
160,"AGARRAR, ASIR, SUJETAR",v.t. Maach.
161,AGAZAPAR,v.i. Mot’kin
162,AGAZAPARSE,v.i. Mot’tal.
163,AGAZAPADO,adj. Mot’baj.
164,ÁGIL,adj. T’a’aj
165,AGILIDAD,sus. T’a’ajil.
166,ÁGIL DE PENSAMIENTO,adj. Léeleep’ki.
167,"AGITARSE, COBRAR FUERZA",v.i. T’a’ajtal
168,AGLOMERAR,"v.i. Múuch’kiin, mulkiin, múu"
169,AGONÍA,sus. Pa’ muuk’.
170,AGORAR,"v.t. Tamaxchi’, tomoxchi’"
171,AGOTAR,"v.t. Xuup, sóop’."
172,AGRADECIMIENTO,"sus. Nibpixan, nibpixanil,"
173,AGRAVIO,sus. K’aas poch’
174,AGREGAR,"v.t.Ts’a yóok’ol, ya’abkuns."
175,AGRICULTOR,"sus. Koolnáal, j meyji k’áax, niib óolal koolkaab"
176,AGRICULTURA,sus.Meyjul k’áax.
177,AGRIDULCE,adj. Ch’ujuksu’uts’
178,AGRIETAR,v.i. Jet
179,AGRIO,adj. Su’uts’
180,AGUA,sus. Ja’
181,AGUA CALIENTE,sus. Chokoj ja’
182,AGUA LLUVIA,"sus. Ka’anil ja’, ch’ulub ja’"
183,AGUACATE (PERSEA AMERICANA MILLER),sus. Oon
184,AGUACERO,sus. K’a’amkach ja’.
185,AGUACERO PEQUEÑO,sus. Luuchil ja’
186,AGUADA,"sus. Áak’al, áak’al che’"
187,AGUADOR,sus. J koonja’
188,AGUADORA,sus. X koonja’.
189,AGUARDAR,"v.i. Páak’t, páa’t"
190,AGUARDIENTE,"sus. Uk’aj, wiix kisin, k’áaj ja’, ja’i’ káaltal."
191,AGUIJÓN,"sus. Aach, k’i’ix"
192,ÁGUILA ROJA,sus. Kóot.
193,AGUILILLA,sus. Koos
194,AGUILILLA NEGRA,sus. Éek’ píip
195,AGUJA,sus. Púuts’
196,AGUJEREADO,"adj. Jola’an, pota’an"
197,AGUJEREAR,v.t. Jo’ol
198,"AGUJERAR, PERFORAR, BARRENAR",v.t. Poot.
199,AGUJERO,sus. Jool
200,AGUTÍ,sus. Tsuub
201,AGÜERO,"sus. Tomoj chi’, tomox chi’,tamaxchi’."
202,AHÍ,adv. de l. Te’elo’. ¿Qué haces ahí? ¿Ba’ax ka beetik te’elo’?
203,AHIJADO,sus. Mejenilan
204,AHOGAR,v.t. Kupaj
205,AHOGAR APRETANDO LA GARGANTA,v.t. Bits’ nak paach.
206,ALCANZAR,"v.t. Chuk, chukik, chukpaachtik,"
207,AHORA,"adv. de t. Bejela’e’, teak, teaki’, Chuuk."
208,AHORA MISMO,adv. de t. Táan
209,AHORCAR,v.t. Jich’kaal
210,AHORRAR DINERO,v.t.Líik’esaj táak’iin.
211,AHORRO,sus. T’áal k’u’
212,"AHUECADO, CON MUCHOS HUECOS",adj. Jóonjo
213,AHUYENTAR,v.t. Tóojol
214,AIRE,sus. Iik’
215,AIRE FUERTE,sus. K’aam iik’
216,"AJADAS, ESTROPEADAS",adj. T’u’t’u’uy
217,AJENO,adj. Junpayil
218,AJONJOLÍ,sus. Sikli’ p’uus
219,AJUSTAR,"v.t.P’iiskunaj, p’elkunaj."
220,AJUSTICIADO,adj. Malel táankab
221,AL,prep.Ti’. Le di ramón al borrego.Tin ts’aj óox ti’ taman
222,ALBARRADA,sus. Koot.
223,"ALBARRADEAR, HACER ALBARRADA",v.t. Koot.
224,ALBOROTO,sus. X wookin.
225,AL CONTRARIO,adv. de m. Kuchpaach.
226,ALEGRÍA,"sus. Ki’imak óol, ki’ óolal, ki’imak"
227,ALFABETIZADOR,"sus. Aj ka’ansaj xook, Aj óolajil. ka’ambesaj."
228,AL INSTANTE,adv. de m. Jan
229,AL RATO,"adv. de t. Ka’akate’, ma’ sáame"
230,ALA,sus. Xiik’
231,ALACENA,sus. Balab.
232,ALACRÁN,"sus. Síina’an, sina’an"
233,ÁLAMO (FICUS COTINIFOLIA HB ET K),sus.
234,ALBAHACA (OCIMUM MICRANTHUM WILLD),"sus. Kóopo’, ju’un Kakaltun"
235,ALBAÑIL,"sus.J pak’ bal, j meen pak’."
236,ALBOROTAR,v.t. P’uj
237,ALBOROTAR PUEBLOS,v.t. Liik’saj kaajtal
238,ALCALDE,"sus. Aj beelmal, aj nat be "
239,"ALCANZAR, ATRAPAR, CAPTURAR PESCAR",v.t.
240,ALCANZAR LO DESEADO,v.t. Chuuk sits’il
241,ALDABA DE HIERRO,sus. K’aalab máaskab
242,ALDEA,sus. Chan kaaj
243,ALEGRÍA,"sus. Ki’ ki’ óolal, ki’imak óolal, ki’imal óolajil."
244,ALEJADAS,adj. Náachja’antak
245,ALEJAR,v.t. Náachkun
246,ALEJARSE,v.i. Náachtal.
247,ALENTAR,"v.t. Kuxkintaj óol, ch’a’b óol."
248,ALEPUSA (ÁCARO QUE VIVE EN GALLINAS CLUECAS),sus. P’aj
249,ALETA,sus. Mejen ot’ xiik’o’ob
250,ALETEAR,"v.i. Popokxiik’o’ob, poklankil, popokankil."
251,ALEVOSÍA,sus. K’eban t’aan
252,ALFARERA,sus. X paat k’at.
253,ALFARERO,sus. J paat k’at
254,ALFORJA,sus. Mukuk
255,ALGARABÍA,"sus. Tataj awatil, k’amach awatil"
256,ALGO,adv. de c.Ts’e’ets’ek .
257,ALGODÓN (GOSSYPIUM HIRRSUTUM L),sus. Jinta
258,ALGÚN,adv de c. Babajun.
259,ALGUNOS,adv de c. Ts’éets’ek.
260,ALGUNA COSA,sus. Ba’abal
261,ALGUIEN,sus. Yaan máax.
262,"ALHAJA, JOYA",sus. Mejen ba’abal ko’oj.
263,ALIANZA,"sus. Jax t’aanil, k’aax t’aan, múuch’ t’aani, mok t’aani."
264,ALIENTO,"sus. Iik’, múusik’"
265,ALIMENTAR,"v.t. Tséem, téentik."
266,ALIMENTO,"sus. Janal, o’och, janalbe’en"
267,ALIMENTADO,adj. Tséenta’
268,ALISAR,"v.t. Tats’, báay, ji’ik"
269,ALIVIAR,v.t. Táan u yutstal.
270,ALIVIO,sus. Ch’éensáal
271,ALJIBE,sus. Chultun
272,AL LADO,adv de l. Tu tséel
273,ALMA,"sus. Pixan, óol."
274,ALMIZCLE,sus. P’u’us
275,ALMORRANA,sus. X mumus
276,ALMUD (MEDIDA DE PESO DE 3600 KGS),sus. Muut
277,ALMUERZO,"sus. Janal, o’och"
278,ALPARGATA,sus. Xaanab k’éewel. ALPARGATAS QUE SE AMARRAN AL TOBILLO CON UN
279,CORDEL,sus. X bak’al óoko’ob.
280,ALREDEDOR,"adv. de l. Bak’ paach, ba’apach, nak’lik,bak’lam paach."
281,ALTAR,"sus. K’atal che’, K’uyen temil"
282,ALTAR RÚSTICO DE MADERA,sus. Ka’anche’
283,ALTERADO DE LOS NERVIOS,adj. Na’aka’an u
284,ALTERAR EL ÁNIMO LIGERAMENTE,v.i. Lep’ óol
285,ALTERARSE MUCHO COMO DE ESPANTO,v.i. ch’íich’il. Chaketjal
286,ALTIVEZ,"sus. Tsikbail, ka’anal óolil."
287,ALTIVO,adj. Ka’anal óol
288,ALTO,adj. Ka’anal bak
289,ALTURA,sus. Ka’analil
290,"ALUMBRAR, AFOCAR",v.t. Juul.
291,ALUMNO,"sus. Aj kambal, j káanbal."
292,ALUMNA,"sus. Ix kambal, x káanbal"
293,ALZAR,"v.t. Li’is, ch’úuy."
294,ALZAR O ESTIRAR LAS MANOS O LOS PIES,v.i. Tiich’
295,"ALZAR, ASIR CON LOS DEDOS",v.t. T’úuy.
296,ALLÁ,adv. de l. Tolo’
297,ALLANAR,"v.t. Tax, taxkun"
298,ALLANAR CON LA MANO,v.t. Jux k’ab
299,"ALLEGAR, ACERCAR",v.i. Taak.
300,ALLÍ,"adv. de l. Ti’i, te’elo’, tolo’. Ponlo ahí: Ts’a te’elo’"
301,AMABLE,adj. Uts.
302,AMABILIDAD,sus. Utsil.
303,AMAMANTAR,v.t. Ts’áa chu’uch
304,AMANECER,"sus.,v.i. Sáastal, sáastaj, jáatskab k’iin, píik, píik’il."
305,AMANECER,"adv. de t.Píik’ij, sáaschajake’."
306,AMANSADOR,sus. J suuk kinnáal
307,AMANTE,"sus. gen. m. J yaakunaj, gen. f. X AMPARAR ba’al, Ix yaakunaj , weey."
308,AMAPOLA,"(PACHIRA AGUATICA. AUBL.) sus. K’uyche’, k’uux che’."
309,AMAR,"v.t. Yáakunaj, yaabilaj, yáajkunaj"
310,AMARANTO (AMATANTHUS),sus. X tes.
311,AMARGO,adj. K’áaj.
312,AMARGUÍSIMO,adj. K’áak’áaj.
313,AMARGURA,sus. K’áajil.
314,AMARGURA,sus. Ok’om óolal.
315,AMARILLO,adj. K’an.
316,AMARILLÍSIMO,adj. K’ank’an.
317,AMARRAR,v.t. K’aax
318,AMARRAR FUERTEMENTE,v.t. Jiich’ k’aax.
319,AMARRAR FUERTEMENTE,v.t. Móomooch.
320,AMARRADO MUY FUERTE VARIAS VECES,adj.
321,"AMARRADO CON FUERZA, DIFÍCIL DE DESATAR",adv K’aak’aax. de m. Jíijiich’.
322,AMBICIÓN,"sus. Sawin achil, ts’íibol, po"
323,AMBICIÓN,sus. Sits’ óol.
324,AMBICIONAR,v.i. Sits’
325,A MI MISMO,Baatsile’
326,AMENAZAR,"v.t. Sajakkun, ts’áa sajak"
327,AMIGO,"sus. Et ook, etail, éet bisbail, etchi’ili’, etchi’il."
328,AMNISTÍA,sus. Sajtsajil
329,AMONESTACIÓN,sus. Pay óolal.
330,AMONESTAR,v.t. K’eey.
331,AMONTONADO,"adj. Túujkab. AMONTONADO EN EXCESO, MUY ESPONJADO. adj."
332,AMONTONAR,"v.t. Mulkin, múuch’kin, nik."
333,"AMONTONADO, AGLOMERADO",adj.
334,"AMONTONAR, HACER MONTONES",v.t. Túutuu
335,"AMONTONAR, TUPIR",v.t. Cheej.
336,AMONTONARSE,"v.t. Múuch’ul, múuch’tal."
337,AMOR,"sus. Yaakun, yaakunajil, yaabilaj."
338,AMOTINAR,v.i. P’ujla’ajal
339,AMPARAR,v.t. Bo’oybesaj
340,AMPARO,sus. Anat
341,AMPLIAR,"v.t. Nojochkinsaj, kóochkinsaj"
342,AMPOLLA,"sus. Kum ja’, xaakal, xáakal."
343,AMPOLLAR,"v.i. Xaak, xáak, p’ool."
344,ÁMPULAS O PROTUBERANCIAS,sus. P’oolen p’óol.
345,AMULETO,sus. Pay okil.
346,AMURALLAR,"v.t. K’aal, bak’ paach"
347,ANARANJADO,adj. Chak k’ank’an
348,ANATEMA,sus. Aj tsakom
349,ANCIANO,"adj. Nuxib, ch’iija’an"
350,ANCLA,"sus. Ch’uuy tuun, Ch’uuy máaskab."
351,ANCHO,adj. Kóoch
352,ANCHURA,sus. Kóochil.
353,ANDAR,v.i. Xíinbal
354,ANDAR A LA REDONDA COMO CABALLO DE NORIA,v.i. Kots’ xíinbal
355,ANDAR DANDO TRASPIÉS,v.i. Takchalak ANDRAJO. sus. T’u’ut’uy
356,ANEGAR,v.i. Búulul
357,"ANEGAR, AHOGAR",v.i. Buul
358,ANÉMICO,adj. Sakpak’e’en
359,ANEMIA,sus. Sakpak’e’enil.
360,ÁNGULO,"sus. Ti’its, tu’uk’."
361,ANGUSTIA,sus. Ok’om óolal .
362,ANGUSTIA DE ÁNIMO Y DE CORAZÓN,sus. Jat’ tsemil
363,ANIDAR,v.t. K’u’ankil
364,ANILLO,sus. Ts’ipit k’ab
365,ANIMAL,sus. Ba’alche’
366,ANIMAL DOMÉSTICO,sus. Aalak’
367,ANIMAL MITOLÓGICO,"sus. Bob, bobil, boboch"
368,ANIMAL MONTARAZ,sus. Ba’alche’
369,ANIMAL QUE HA SIDO AMANSADO O DOMESTICA,
370,DO,sus. Aalak’bil
371,ANIMAR,"v.t. Ts’a óol, líik’esaj óol."
372,ÁNIMO,"sus. Chichil óolal, lep’óolal, óol,"
373,ANIMOSO,"adj. Chich óol, t’a’aj."
374,ANIQUILARSE,v.i. Ch’ejel
375,ANO,"sus. Iit, moolo, moolol, mooloj, óolaj chuun. "
376,ANOCHE,"adv. de t. Ok’najak, áak’ab, áak’abejak"
377,ANOCHECER,"v.i. Áak’abtal, oknaj k’iin ANOLAR (DESGASTAR UN DULCE EN LA BOCA MOVIÉNDOLO DE"
378,LADO A LADO),v.t. Nóol .
379,ANSIEDAD,"sus.Sowjal, chukul iik’, okom óolil, pochil."
380,ANSIOSO,adj. Aj chukul iik’
381,"ANSIOSO, MUY DESESPERADO",adj. Paapaach’.
382,ANZUELO,sus. Lúuts.
383,ANTEPASADOS,sus. Máanja’an ch’i’ibalo’ob.
384,ANOCHE,adv. de t. O’niak.
385,ANONA (ANNONA CHERIMOLA MILLER),sus. Óop
386,ANONA MORADA,sus. Polbox
387,ANOTAR,v.t. Ts’íib
388,ANTE,adv. de l. Aktáan
389,ANTENOCHE,adv. de t. Áak’ab ka’oje
390,ANTEPASADO,sus.Úuchben ch’i’ibal.
391,ANTES,"adv. de t. Ma’aili’, paybe’en, táanil, táanij, yáax, yáax táanil, payanbe’, tanta"
392,ANTERIORMENTE,"adv de t. Úuch, ka’ach."
393,ANTIER,"adv. de t. Ka’ojej, kaujeak"
394,ANTIGUAMENTE,adv. de t. Ka’ach úuchij.
395,ANTIGÜEDAD,sus. Úuchbenil
396,ANTIGUO,adj. Úuchben
397,ANTORCHA,sus. Tajche’
398,ANUDADO,adj. Jiich’il
399,ANUDAR,v.t. Mook.
400,ANUDAR APRETANDO FUERTE,v.t. Jeep’.
401,ANULAR,"v.t. Cháajal, xu’uls"
402,ANUNCIAR,v.t. Nub chi’
403,AÑADIDA,adj. Chaybesabal
404,AÑADIR,v.t. Chaybesaj
405,AÑEJAR,"v.i.Úuchbe’enchajal, úuchbe’enjal"
406,AÑIL (INDIGOFERA SUFFRUTICOSA MILLER),sus. Ch’ooj.
407,AÑO,sus. Ja’ab.
408,AÑO PASADO,"sus., adj. Ja’abake’."
409,APACIGUAR,v.t. Jets’tal
410,APAGADO,adj. Tuupul.
411,APAGAR EL FUEGO,v.t. Tuup.
412,APAGARSE EL FOGÓN,v.i. Jaab.
413,APARATO,sus. Nu’ukul
414,APARECER,"v.i. Chíikpajal, tip’"
415,APARTAR,v.t. Jaats.
416,APARTE,adv. Junpay
417,APARTARSE CON ARROGANCIA,v.i. Kusba
418,APATÍA,sus. Ma’óolal
419,APEDREADO,adj. Ch’íinch’iinabil.
420,APENADO,adj. Naak’al ti’
421,APENAS,adv. de m. Chéen p’eel APESGAR (TOCAR UN OBJETO PRESIONÁNDOLO CON
422,LA MANO ABIERTA O CON UN DEDO),"v.t. Peets’, ts’aal"
423,APESTAR,v.i. Tu’
424,APESTOSO,adj. Tu’
425,APETITO,"sus. Wi’óolal, wi’ij, táak janal."
426,APICULTOR,sus. Aj kaabnáal
427,APICULTURA,"sus. Meyajil kaab, meyjul kaab."
428,APILADO DESORDENADAMENTE,adj. Ts’áats’aap.
429,APISONAR,v.t. Bajpéek
430,APLANAR,"v.t. Táaxkun, táaxkuntik."
431,APLASTADO,adj. Maxal
432,"APLASTAR,MAJAR, PRENSAR","v.t. Pech’, pets’, peech’, puuch’."
433,"APLASTAR, ARRUGAR",v.t. Yuuch’.
434,APLAUDIR,"v.i. Papax k’ab, lalaaj k’ab."
435,APLOMO,sus. Toj óolal
436,APODO,"sus. P’aat k’aaba’, ko’ko’k’aaba’"
437,APORREAR,v.t. P’uuch
438,APOSENTO,sus. Tunk’as
439,APOYAR,"v.i. Jets’kun, nakkun."
440,APOYO,sus. Jets’il
441,APRECIO,sus. Tumut
442,"APRECIAR, VALUAR, JUSTIFICAR","v.t. Xoot chimil APRECIAR, ESTIMAR, AMAR, v.t. Yaakunaj"
443,APREHENDER,"v.t. Chuk, chuuk, maach"
444,APREMIO,sus. Yail
445,APRENDER,"v.i. Káanbal, kaambal."
446,APRENDER,v.t. Kanik.
447,APRENDIZAJE,sus. Káanbesajul.
448,APRESURADO,adj. Seeb óol ARBUSTO yaach’ Chek’mal. sus. Yeet’
449,APRETADO,"adj. K’ak’ax, nu’ut’"
450,APRETADO,"adj. Jejep’ki, kankanki."
451,APRETADO MUY FUERTE,adv. Jéejeep’ki.
452,APRETAR,"v.t. Jep’, p’e’es."
453,"APRETAR, CEÑIR",v.t. jiich’.
454,"APRETAR, DEFORMAR, ARRUGAR","v.t. Yuuch’,"
455,APRETAR ENTRE DOS COSAS,v.t. Jaap.
456,APRETARSE COMO LA BALA EN EL ARCABUZ,v.t.
457,APRETAR FUERTE,v.t. Káamjep’.
458,APRETÓN QUE SE DA CON LA PUNTA DE LOS DEDOS,
459,APRISA,"adv. de m. Séebal, seba’an"
460,APROBACIÓN,"sus. Éejenil, éejenta’al."
461,APROBAR,v.t. Ketbesaj
462,APROPIAR,v.t. Pach
463,"APROPIAR, AGARRAR, TOMAR, COGER",v.t. Ch’a’
464,APROVECHAR,"v.i. Ch’alik, makenjal"
465,APROVECHARSE POR SER BASTANTE,v.t. Chanbil
466,APROXIMARSE,v.i. Naats’al
467,"APROXIMAR MUCHO LAS COSAS, ANIMALES O PER",
468,SONAS,v.t. Naanaak’. APROXIMARSE MUCHO A ALGO O ALGUIEN. v.t.Náanaak’.
469,APUNTAR PARA TIRAR,v.t. Joltan.
470,A PUNTO,adv. de t. Ol
471,A PUNTO DE SUCEDER,adv. de t. Ta’aitak
472,"APUÑALAR, PUNZAR, HERIR",v.t. Loom
473,"APUÑETAR, DAR DE PUÑETAZOS, BOX, BOXEAR",v.t. Loox.
474,APÚRATE,"Expresión léxica verbal. Bajaba, péeksaba, lep’ a wóol, chook’aba, chok’ ti’, péenen."
475,AQUEL,"adj. Lelo’, le je’elo’."
476,AQUÍ,"adv. de l. Te’ela’, waye’, weye’, way."
477,AQUIETARSE,v.i. Toj jal óol
478,ARAÑA,"sus. Am, le’um"
479,ARAÑA NEGRA,sus. X boox le’um
480,ÁRBOL,sus. Che’ ARBUSTO CUYOS FRUTOS SE UTILIZAN PARA PROVOCAR EL HABLA EN LOS INFANTES QUE NO
481,APRENDEN A HABLAR PRONTO,sus. Sutup
482,ARBUSTO MELÍFICO DE FLORES AMARILLAS,sus.
483,ARCO IRIS,sus. Cheel
484,"ARCO DE EDIFICIO, BÓVEDA","sus. P’um, p’un"
485,ARCO FALSO,sus. Tuusil p’un.X ma’ jaajil
486,ARCO DE FLECHA,"sus. Tip’ix, tip’ix che’"
487,ARCO PARA TIRAR,"sus. Tip’ix, tip’ix che’"
488,ARCO DE RAMAS,sus. Ts’ulum
489,ARDER,"v.i. Elel, el"
490,ARDER ECHANDO LLAMAS,v.i. Jopankil
491,ARDIENDO CON CALENTURA,"v.i. T’at’abki, táan u jáabal yéetel chokwil. Está ardiendo con calentura, está consumiéndose con calentura."
492,ARDILLA,"sus. Ku’uk, kunab"
493,ARENA,"sus. Sam, u lu’umil k’áanab, sinsin."
494,ARENGADO,adj. P’ujbesaj
495,ARENGAR,v.t. Awat t’aanil
496,ARETE,sus. Tuup
497,ARGAMASA,sus. Pak’ bitun
498,ARISCO,adj. K’o’ox
